Country,State,City,Region,Number of Procedures,Time,Cost,,,,,,,,,,,,,,,,,,,,,
United States,South Dakota,Sioux Falls,West North Central,4,7,0.0043,,,,,,,,,,,,,,,,,,,,,
United States,Tennessee,Nashville,East South Central,5,7,0.0103,,,,,,,,,,,,,,,,,,,,,
United States,Texas,Austin,West South Central,4,1,0.0090,,,,,,,,,,,,,,,,,,,,,
United States,Texas,Dallas,West South Central,4,1,0.0109,,,,,,,,,,,,,,,,,,,,,
United States,Texas,Houston,West South Central,4,1,0.0140,,,,,,,,,,,,,,,,,,,,,
United States,Texas,San Antonio,West South Central,4,1,0.0140,,,,,,,,,,,,,,,,,,,,,
United States,Utah,Salt Lake City,Mountain,4,1,0.0085,,,,,,,,,,,,,,,,,,,,,
United States,Vermont,Burlington,New England,5,1,0.0069,,,,,,,,,,,,,,,,,,,,,
United States,Virginia,Arlington,South Atlantic,5,7,0.0024,,,,,,,,,,,,,,,,,,,,,
United States,Virginia,Virginia Beach,South Atlantic,5,7,0.0046,,,,,,,,,,,,,,,,,,,,,
United States,Washington,Seattle,Pacific,5,5,0.0057,,,,,,,,,,,,,,,,,,,,,
United States,Washington D.C.,District of Columbia,South Atlantic,5,5,0.0058,,,,,,,,,,,,,,,,,,,,,
United States,West Virginia,Charleston,South Atlantic,5,1,0.0050,,,,,,,,,,,,,,,,,,,,,
United States,Wisconsin,Milwaukee,East North Central,5,2,0.0076,,,,,,,,,,,,,,,,,,,,,
United States,Wyoming,Cheyenne,Mountain,5,12,0.0063,,,,,,,,,,,,,,,,,,,,,
Mexico,Aguascalientes,Aguascalientes ,,7,27,0.0241,,,,,,,,,,,,,,,,,,,,,
Mexico,Baja California,Tijuana ,,5,3,0.0563,,,,,,,,,,,,,,,,,,,,,
Mexico,Baja California Sur,La Paz ,,n/a,11,n/a,,,,,,,,,,,,,,,,,,,,,
Mexico,Campeche,Campeche,,5,14,0.0933,,,,,,,,,,,,,,,,,,,,,
Mexico,Chiapas,Tuxtla Gutiérrez,,13,21,0.1359,,,,,,,,,,,,,,,,,,,,,
Mexico,Chihuahua,Chihuahua,,6,24,0.1086,,,,,,,,,,,,,,,,,,,,,
Mexico,Chihuahua,Juárez,,7,39,0.0669,,,,,,,,,,,,,,,,,,,,,
Mexico,Coahuila,Saltillo,,7,46,0.3574,,,,,,,,,,,,,,,,,,,,,
Mexico,Coahuila,Piedras Negras,,5,14,0.0261,,,,,,,,,,,,,,,,,,,,,
Mexico,Colima,Colima,,5,16,0.2945,,,,,,,,,,,,,,,,,,,,,
Mexico,Durango,Durango,,5,14,0.0514,,,,,,,,,,,,,,,,,,,,,
Mexico,Guanajuato,León,,4,14,0.0967,,,,,,,,,,,,,,,,,,,,,
Mexico,Guerrero,Acapulco,,n/a,11,n/a,,,,,,,,,,,,,,,,,,,,,
Mexico,Sonora,Hermosillo,,8,14,0.2088,,,,,,,,,,,,,,,,,,,,,
Mexico,Hidalgo,Pachuca,,7,61,0.0588,,,,,,,,,,,,,,,,,,,,,
Mexico,Jalisco,Guadalajara,,12,137,n/a,,,,,,,,,,,,,,,,,,,,,
Mexico,México,Ecatepec,,8,27,0.4123,,,,,,,,,,,,,,,,,,,,,
Mexico,México,Naucalpan,,6,21,0.1222,,,,,,,,,,,,,,,,,,,,,
Mexico,México,Nezahualcóyotl,,5,11,0.1222,,,,,,,,,,,,,,,,,,,,,
Mexico,México,Toluca,,4,21,0.1222,,,,,,,,,,,,,,,,,,,,,
Mexico,Mexico City,Mexico City,,9,10,0.2490,,,,,,,,,,,,,,,,,,,,,
Mexico,Michoacán,Morelia,,4,14,n/a,,,,,,,,,,,,,,,,,,,,,
Mexico,Morelos,Cuernavaca,,10,91,0.1646,,,,,,,,,,,,,,,,,,,,,
Mexico,Nayarit,Tepic,,10,16,n/a,,,,,,,,,,,,,,,,,,,,,
Mexico,Nuevo León,San Pedro,,3,4,0.0483,,,,,,,,,,,,,,,,,,,,,
Mexico,Nuevo León,Monterrey,,3,18,0.0483,,,,,,,,,,,,,,,,,,,,,
Mexico,Oaxaca,Oaxaca,,n/a,11,n/a,,,,,,,,,,,,,,,,,,,,,
Mexico,Puebla,Puebla,,8,32,0.0234,,,,,,,,,,,,,,,,,,,,,
Mexico,Querétaro,Querétaro,,9,53,0.1716,,,,,,,,,,,,,,,,,,,,,
Mexico,Quintana Roo,Cancún,,n/a,11,n/a,,,,,,,,,,,,,,,,,,,,,
Mexico,San Luis Potosí,San Luis Potosí,,11,17,0.0608,,,,,,,,,,,,,,,,,,,,,
Mexico,Sinaloa,Culiacán,,13,11,0.0101,,,,,,,,,,,,,,,,,,,,,
Mexico,Tabasco,Villahermosa,,8,41,0.5265,,,,,,,,,,,,,,,,,,,,,
Mexico,Tamaulipas,Reynosa,,8,43,0.6166,,,,,,,,,,,,,,,,,,,,,
Mexico,Tlaxcala,Apizaco,,5,13,0.0117,,,,,,,,,,,,,,,,,,,,,
Mexico,Veracruz,Boca del Rio,,5,51,0.8513,,,,,,,,,,,,,,,,,,,,,
Mexico,Yucatán,Mérida,,6,22,0.2305,,,,,,,,,,,,,,,,,,,,,
Mexico,Zacatecas,Zacatecas,,10,96,0.1791,,,,,,,,,,,,,,,,,,,,,
