Country,State,City,FIPS Code,Region,Number of Firms,State / Providence Area (in Square Miles),Income per Capita,Population,Number of Procedures to Start a Business,Time (in Working Days) to Start a Business,Cost (as a Percent of Income per Capita) to Start a Business,Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),"Average Paid Annual Leave for 1, 5 and 10 Years of Tenure (in Working Days)","Average Notice Period for 1, 5 and 10 Years of Tenure","Average Severance Pay for a 1, 5 and 10 Years of Tenure (in Weeks)",Length of Paid Maternity Leave (in Weeks),Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days (in Working Days),Price per Kilowatt-Hour,Number of Providers,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Without MED,Corporate Income Effective Tax Rate,Personal Income Effective Tax Rate,State Corporate Income Highest Tax Rate,State Corporate Income Lowest Tax Rate,City Corporate Income Highest Tax Rate,City Corporate Income Lowest Tax Rate,State Personal Income Highest Tax Rate,State Personal Income Lowest Tax Rate,City Personal Income Highest Tax Rate,City Personal Income Lowest Tax Rate,Gross Receipts Tax Rate,Commercial Property Effective Tax Rate,Number of Procedures to Transfer Title on Immovable Property,Cost (as a Percent of Income per Capita) to Transfer Title on Immovable Property,Quality of Land Administration Index,Parking Minimum Size (Square Feet per Required Parking Spot),Number of Approvals Needed (Rezoning),Number of Approvals Needed (Zoning)
United States,Florida,Tampa,45300,South Atlantic,54659,65755,32869,392890,5,5,0.01,0.54,3,0,0,0,0,0,0,0,0.1,37,116.9,1.5,0.27,0.22,0.06,0.06,0,0,0,0,0,0,0,0.01,5,0,6,250,4,4
United States,Georgia,Atlanta,12060,South Atlantic,95570,59425,40595,498044,5,2,0.01,0.26,3,0,0,0,0,12,0,0,0.08,32,138.39,1.98,0.27,0.28,0.06,0.06,0,0,0.06,0.01,0,0,0,0.02,4,0,6,200,3,3
United States,Hawaii,Honolulu,46520,Pacific,14015,10931,33776,347397,5,2,0,0.62,3,0,0,0,0,12,0,0,0.29,4,190.23,2.11,0.27,0.3,0.06,0.04,0,0,0.11,0.01,0,0,0,0,4,0,5,400,3,3
United States,Idaho,Boise,14260,Mountain,12566,83642,32147,228790,5,15,0.01,0.47,3,0,0,0,0,0,0,0,0.07,7,304.51,1.8,0.28,0.29,0.07,0.07,0,0,0.07,0.02,0,0,0,0.01,3,0,6,300,4,4
United States,Illinois,Chicago,16980,East North Central,174596,57915,32560,2705994,5,1,0.01,0.83,3,0,0,0,0,6,6.5,0,0.09,22,79.05,0.83,0.31,0.27,0.1,0.1,0,0,0.05,0.05,0,0,0,0.04,5,0,7,500,2,2
United States,Indiana,Indianapolis,26900,East North Central,28136,36418,26232,867125,5,1,0.01,0.57,3,0,0,0,0,0,0,0,0.11,41,129.97,1.11,0.27,0.27,0.06,0.06,0,0,0.03,0.03,0.02,0.02,0,0.03,4,0,4,285,5,5
United States,Iowa,Des Moines,19780,West North Central,9955,56272,26494,216853,5,5,0,0.84,3,0,0,0,0,8,0,0,0.09,40,71.86,0.89,0.33,0.3,0.12,0.06,0,0,0.09,0,0,0,0,0.02,5,0,5,1000,4,4
United States,Kansas,Wichita,48620,West North Central,9292,82277,26527,389255,5,1,0.01,0.57,3,0,0,0,0,0,0,0,0.1,26,113.09,1.12,0.28,0.28,0.07,0.04,0,0,0.06,0.03,0,0,0,0.03,4,0.01,6,300,3,3
United States,Kentucky,Lexington,30460,East South Central,8105,40409,32965,323780,5,2,0,0.46,3,0,0,0,0,0,0,0,0.1,31,131.57,1.18,0.26,0.3,0.05,0.05,0,0,0.06,0.02,0.02,0.02,0,0.01,5,0,6,n/a,4,4
United States,Kentucky,Louisville,31140,East South Central,17937,40409,28975,620118,5,2,0,0.52,3,0,0,0,0,0,0,0,0.1,31,131.57,3.34,0.26,0.29,0.05,0.05,0,0,0.05,0.05,0.02,0.02,0,0.01,5,0,6,300,3,3
United States,Louisiana,New Orleans,35380,West South Central,20226,52378,29275,391006,5,4,0.01,0.52,3,0,0,0,0,12,0,0,0.09,15,145.31,78.45,0.29,0.28,0.08,0.04,0,0,0.06,0.02,0,0,0,0.01,4,0.01,5,300,2,2
United States,Maine,Portland,38860,New England,12756,35385,32221,66417,5,15,0.01,0.77,3,0,0,0,0,10,5,0,0.12,3,394.4,3.57,0.3,0.29,0.09,0.04,0,0,0.07,0.06,0,0,0.01,0.02,5,0,4,636,3,3
United States,Maryland,Baltimore,12580,South Atlantic,44783,12407,28488,602495,5,3,0.01,0.8,3,0,0,0,0,12,5,0,0.1,8,120.3,1.15,0.29,0.27,0.08,0.08,0,0,0.06,0.02,0,0,0,0.01,4,0,5,500,3,3
United States,Massachusetts,Boston,14460,New England,88050,10565,39686,694583,5,1,0.01,0.67,3,0,0,0,0,8,5,0,0.16,19,225.21,63.46,0.29,0.27,0.08,0.08,0,0,0.05,0.05,0,0,0,0.01,4,0,5,500,3,3
United States,Michigan,Detroit,19820,East North Central,68329,96716,27838,672662,5,8,0,0.72,3,0,0,0,0,0,5,0,0.11,25,130.72,0.96,0.27,0.29,0.06,0.06,0,0,0.04,0.04,0.02,0.02,0.01,0.04,4,0,5,200,3,3
