Data Year,Utility Number,Utility Name,State,Ownership,Short Form,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED Minus LOS,CAIDI Minus MED,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically
2019,18848,City of Thomasville - (GA),GA,Municipal,,142.8,6.282,22.731614,142.8,6.28,22.738854,135.9,6.181,21.986734,15744,,Y
2019,18895,Thumb Electric Coop of Mich,MI,Cooperative,,,,,,,,,,,,,
2019,18940,Tipmont Rural Elec Member Corp,IN,Cooperative,,241.22,2.48,97.266129,213.84,2.16,99,116.29,1.2,96.908333,27181,12.5,N
2019,18941,City of Tipp City - (OH),OH,Municipal,,30.204,0.162,186.44444,28.529,,,30.204,,,5004,12,N
2019,18955,"Tri-County Electric Coop, Inc (IL)",IL,Cooperative,,127.8,1.38,92.608696,92.2,1.14,80.877193,96,0.92,104.34783,16417,12.5,Y
2019,18956,Tri-County Elec Member Corp (GA),GA,Cooperative,,,,,,,,,,,,,
2019,18957,Tri-County Elec Member Corp (NC),NC,Cooperative,,,,,,,,,,,,,
2019,18961,Twin County Electric Pwr Assn,MS,Cooperative,,4150,,,283,,,4115,,,12158,24.9,N
2019,18962,Twin Valley Electric Coop Inc,KS,Cooperative,,384,1.59,241.50943,93.1,1.12,83.125,381.1,1.42,268.38028,2938,15,Y
2019,18976,Trinity Valley Elec Coop Inc,TX,Cooperative,,339.006,2.376,142.67929,150.75,1.601,94.1599,337.358,2.365,142.64609,70793.7,14.4,Y
2019,18997,The Toledo Edison Co,OH,Investor Owned,,134.766,0.845,159.48639,66.877,0.631,105.98574,127.743,0.783,163.14559,302870,23,Y
2019,19027,"Tombigbee Electric Coop, Inc",AL,Cooperative,,928.787,4.33,214.50046,532.459,3.1,171.76097,396.328,1.23,322.21789,8831,7.6,Y
2019,19108,Tideland Electric Member Corp,NC,Cooperative,,2102.558,4.146,507.12928,263.67,2.904,90.795455,2068.42,3.888,532.00103,22931,25,Y
2019,19125,City of Traverse City - (MI),MI,Municipal,,64.284,0.615,104.52683,64.284,0.615,104.52683,64.284,0.615,104.52683,12599,13.8,Y
2019,19150,Trenton Municipal Utilities - (MO),MO,Municipal,,10.528,0.09,116.97778,,,,,,,3021,13.2,N
2019,19156,Powder River Energy Corp,WY,Cooperative,,199,1.63,122.08589,199,1.63,122.08589,195,1.56,125,27461,24.9,Y
2019,19157,MiEnergy Cooperative,IA,Cooperative,,158.035,1.31,120.6374,75.61,0.934,80.952891,144.627,1.162,124.46386,7079,7.2,N
2019,19157,MiEnergy Cooperative,MN,Cooperative,,320.328,1.543,207.60078,100.789,0.836,120.561,319.127,1.484,215.04515,16032,24.9,N
2019,19158,Tri-County Electric Coop Assn (MO),MO,Cooperative,,,,,,,,,,,,,
2019,19159,"Tri-County Electric Coop, Inc (TX)",TX,Cooperative,,154.392,1.126,137.11545,154.392,1.126,137.11545,,,,128436,25,N
2019,19160,"Tri-County Electric Coop, Inc (OK)",OK,Cooperative,,,,,,,,,,,,,
2019,19161,"Tri-County Electric Coop, Inc (FL)",FL,Cooperative,,156.304,1.832,85.318777,120.933,1.501,80.568288,156.304,1.832,85.318777,18284,25,Y
2019,19162,Tri-County Elec Member Corp (TN),KY,Cooperative,,486.5,3.69,131.84282,278.18,3.14,88.592357,447.83,3.11,143.99678,24440,13,Y
2019,19162,Tri-County Elec Member Corp (TN),TN,Cooperative,,436.56,4.19,104.19093,236.65,3.34,70.853293,418.12,3.72,112.39785,27012,13,Y
2019,19189,Trico Electric Cooperative Inc,AZ,Cooperative,,69.434,0.626,110.91693,43.043,0.472,91.192797,68.052,0.517,131.62863,48875,24.9,Y
2019,19219,Diverse Power Incorporated,AL,Cooperative,,524.091,2.963,176.8785,92.962,2.159,43.057897,524.091,2.963,176.8785,669,35,Y
2019,19219,Diverse Power Incorporated,GA,Cooperative,,259.876,2.1,123.75048,120.862,1.529,79.046436,237.821,1.828,130.09902,34645,35,Y
2019,19225,City of Troy - (AL),AL,Municipal,,93.999,1.5,62.666,93.999,1.5,62.666,93.999,1.5,62.666,9150,12,Y
2019,19229,Truckee Donner P U D,CA,Political Subdivision,,1024.42,2.53,404.90909,,,,,,,13777,14.4,Y
2019,19266,Tullahoma Board-Public Utils,TN,Municipal,,50.885,1.438,35.385953,25.127,0.745,33.727517,50.885,1.438,35.385953,11165,13,N
2019,19281,Turlock Irrigation District,CA,Political Subdivision,,70,0.71,98.591549,59,0.59,100,70,0.71,98.591549,87386,12,N
2019,19293,Southeastern Electric Coop Inc - (SD),SD,Cooperative,,,,,,,,,,,,,
2019,19324,Two Rivers Water & Light,WI,Municipal,,337.23,0.609,553.74384,,,,,,,6117,13.2,N
2019,19325,Umatilla Electric Coop Assn,OR,Cooperative,,104.135,1.035,100.61353,104.135,1.035,100.61353,77.564,0.898,86.374165,15447,12.5,Y
2019,19390,"UGI Utilities, Inc",PA,Investor Owned,,275,1.19,231.09244,182,0.96,189.58333,271,1.099,246.58781,62139,13.8,Y
2019,19396,Tri-County Electric Coop (MI),MI,Cooperative,,270,1.52,177.63158,156,1.23,126.82927,266,1.45,183.44828,26104,25,N
2019,19435,Union Electric Membership Corp - (NC),NC,Cooperative,,53.6,0.54,99.259259,37.5,0.41,91.463415,53.6,0.54,99.259259,76733,25,N
2019,19436,Union Electric Co - (MO),MO,Investor Owned,,181,1.13,160.17699,106,0.9,117.77778,,,,1237819,69,Y
