Country,State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Price per Kilowatt-Hour,Number of Providers,More than One Electricity Provider,Average Outage - SAIDI - Cooperative - W/O MED,Average Outage - SAIDI - Investor Owned - W/O MED,Average Outage - SAIDI - Municipal - W/O MED,Average Outage - SAIDI - Political Subdivision - W/O MED,Average Outage - SAIDI - State - W/O MED,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Cooperative - W/O MED,Average Outage - SAIFI - Investor Owned - W/O MED,Average Outage - SAIFI - Municipal - W/O MED,Average Outage - SAIFI - Political Subdivision - W/O MED,Average Outage - SAIFI - State - W/O MED,Average Outage - SAIFI - Without MED
United States,Georgia,Atlanta,South Atlantic,59425,40595,498044,0.08,32,1,153.228,136.731,125.2,n/a,n/a,138.3863333,1.498,3.235,1.21,n/a,n/a,1.981
United States,Hawaii,Honolulu,Pacific,10931,33776,347397,0.29,4,1,n/a,190.23,n/a,n/a,n/a,190.23,n/a,2.106,n/a,n/a,n/a,2.106
United States,Idaho,Boise,Mountain,83642,32147,228790,0.07,7,1,471.91,137.119,n/a,n/a,n/a,304.5145,2.539,1.053,n/a,n/a,n/a,1.796
United States,Illinois,Chicago,East North Central,57915,32560,2705994,0.09,22,1,139.607,79.583,17.962,n/a,n/a,79.05066667,1.539,0.799,0.141,n/a,n/a,0.826333333
United States,Indiana,Indianapolis,East North Central,36418,26232,867125,0.11,41,1,206.758,133.053,50.087,n/a,n/a,129.966,1.703,1.037,0.577,n/a,n/a,1.105666667
United States,Iowa,Des Moines,West North Central,56272,26494,216853,0.09,40,1,97.91,93,24.676,n/a,n/a,71.862,1.272,0.93,0.466,n/a,n/a,0.889333333
United States,Kansas,Wichita,West North Central,82277,26527,389255,0.1,26,1,198.411,83.225,57.635,n/a,n/a,113.0903333,1.414,0.924,1.035,n/a,n/a,1.124333333
United States,Kentucky,Lexington,East South Central,40409,32965,323780,0.1,31,1,172.598,188.015,34.111,n/a,n/a,131.5746667,1.624,1.203,0.712,n/a,n/a,1.179666667
United States,Kentucky,Louisville,East South Central,40409,28975,620118,0.1,31,1,172.598,188.015,34.111,n/a,n/a,131.5746667,1.704,1.203,7.12,n/a,n/a,3.342333333
United States,Louisiana,New Orleans,West South Central,52378,29275,391006,0.09,15,1,274.507,144.707,16.71,n/a,n/a,145.308,3.27,231.6,0.493,n/a,n/a,78.45433333
