State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Number of Procedures to Start a Business,Time (in Working Days) to Start a Business,Cost (in USD) to Start a Business,Cost (as a Percent of Income per Capita) to Start a Business,Minimum Wage - State,Minimum Wage - City,Hourly Minimum Wage Applicable to Workers (in USD),Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),"Average Paid Annual Leave for 1, 5 and 10 Years of Tenure (in Working Days)","Average Notice Period for 1, 5 and 10 Years of Tenure","Average Severance Pay for a 1, 5 and 10 Years of Tenure (in Weeks)",Minimum Length of Paid Maternity Leave - State,Minimum Length of Paid Maternity Leave - City,Length of Paid Maternity Leave (in Weeks),Minimum Length of Unpaid Maternity Leave - State,Minimum Length of Unpaid Maternity Leave - City,Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days - State,Number of Paid Sick Leave Days - City,Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days - State,Number of Unpaid Sick Leave Days - City,Number of Unpaid Sick Leave Days (in Working Days),Price per Kilowatt-Hour,Number of Providers,More than One Electricity Provider,Average Outage - SAIDI - Cooperative - W/O MED,Average Outage - SAIDI - Investor Owned - W/O MED,Average Outage - SAIDI - Municipal - W/O MED,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Cooperative - W/O MED,Average Outage - SAIFI - Investor Owned - W/O MED,Average Outage - SAIFI - Municipal - W/O MED,Average Outage - SAIFI - Without MED,Federal Corporate Income Tax Rate,State Corporate Income Marginal Tax Rate,City Corporate Income Marginal Tax Rate,Corporate Income Effective Tax Rate,Federal Personal Income Tax Rate,State Personal Income Marginal Tax Rate,City Personal Income Marginal Tax Rate,Personal Income Effective Tax Rate,State Corporate Income Highest Tax Rate,State Corporate Income Lowest Tax Rate,City Corporate Income Highest Tax Rate,City Corporate Income Lowest Tax Rate,State Personal Income Highest Tax Rate,State Personal Income Lowest Tax Rate,City Personal Income Highest Tax Rate,City Personal Income Lowest Tax Rate,Gross Receipts Tax Base,Gross Receipts Tax Base Score,Gross Receipts Tax Rate,Gross Receipts Tax Rate Score,Commercial Property Effective Tax Rate,Number of Procedures to Transfer Title on Immovable Property,Cost (in USD) to Transfer Title on Immovable Property,Cost (as a Percent of Income per Capita) to Transfer Title on Immovable Property,Land Title Identification,Immovable Property Identification,Reliability of Information Index,Information on Land-Ownership is Made Publicly-Available,Documents for Completing the Registration of Property Transactions Publicly-Available,Fee Scheduleis Made Publicly-Available,Specific and Independent Mechanism for Filing Complaints,Specific Time Frame for Immovable Property Registration,Deed for Property Title Transfer Can Be Processed Online,Transparency of Information Index,Quality of Land Administration Index,Parking Minimum Size (Square Feet per Required Parking Spot),Local Planning Commission (Rezoning),Local Zoning Board (Rezoning),Local Council / Local Managers (Rezoning),County Board of Commissioners (Rezoning),County Zoning Board (Rezoning),Environmental Review Board (Rezoning),Number of Approvals Needed (Rezoning),Local Planning Commission (Zoning),Local Zoning Board (Zoning),Local Council / Local Managers (Zoning),County Board of Commissioners (Zoning),County Zoning Board (Zoning),Environmental Review Board (Zoning),Number of Approvals Needed (Zoning)
Maine,Portland,New England,35385,32221,66417,5,15,275,0.008534806,12,12,12,0.774650073,3,0,0,0,0,0,0,10,0,10,5,0,5,0,0,0,0.12,3,1,472.392,316.4,n/a,394.396,4.96,2.185,n/a,3.5725,0.21,0.0893,0,0.2993,0.22,0.0715,0,0.2915,0.0893,0.035,0,0,0.0715,0.058,0,0,0,0,0.0057,6.755523391,0.0206,5,40,0.001241426,1,1,2,0,1,1,0,0,0,2,4,636,No,Yes,Yes,No,No,Yes,3,No,Yes,Yes,No,No,Yes,3
Maryland,Baltimore,South Atlantic,12407,28488,602495,5,3,247,0.008670317,11,11,11,0.803145184,3,0,0,0,0,0,0,12,0,12,5,0,5,0,0,0,0.1,8,1,141.37,99.234,n/a,120.302,1.34,0.953,n/a,1.1465,0.21,0.0825,0,0.2925,0.22,0.0475,0.0003,0.2678,0.0825,0.0825,0,0,0.0575,0.02,0.0003,0.0003,0,0,0,10,0.011,4,135,0.004738837,1,1,2,1,1,1,0,0,0,3,5,500,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Massachusetts,Boston,New England,10565,39686,694583,5,1,570,0.014362748,12.75,12.75,12.75,0.668245729,3,0,0,0,0,0,0,8,0,8,5,0,5,0,0,0,0.16,19,1,n/a,324.966,125.455,225.2105,n/a,96.483,30.428,63.4555,0.21,0.08,0,0.29,0.22,0.051,0,0.271,0.08,0.08,0,0,0.051,0.051,0,0,0,0,0,10,0.0122,4,155,0.003905659,1,1,2,1,0,1,0,0,1,3,5,500,Yes,Yes,Yes,No,No,No,3,Yes,Yes,Yes,No,No,No,3
Michigan,Detroit,East North Central,96716,27838,672662,5,8,100,0.003592212,9.65,9.65,9.65,0.72102881,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0.11,25,1,169.801,184.088,38.284,130.7243333,1.33,1.058,0.477,0.955,0.21,0.06,0,0.27,0.22,0.0425,0.024,0.2865,0.06,0.06,0,0,0.0425,0.0425,0.024,0.024,1,10,0.008,5.446348618,0.0413,4,42,0.001508729,1,1,2,1,0,1,0,1,0,3,5,200,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Michigan,Grand Rapids,East North Central,96716,23225,200217,5,8,100,0.004305705,9.65,9.65,9.65,0.864241119,3,0,0,0,0,0,0,6,0,6,5,0,5,0,0,0,0.11,25,1,169.801,184.088,38.284,130.7243333,1.33,1.058,0.477,0.955,0.21,0.06,0,0.27,0.22,0.0425,0.015,0.2775,0.06,0.06,0,0,0.0425,0.0425,0.015,0.015,1,10,0.008,5.446348618,0.0155,4,30,0.001291712,1,1,2,1,1,1,0,0,1,4,6,200,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Minnesota,Minneapolis,West North Central,86943,35259,425403,5,1,205,0.005814118,10,11.75,11.75,0.693156357,3,0,0,0,0,0,0,12,0,12,0,8.67,8.67,0,0,0,0.1,74,1,105.733,101.45,16.092,74.425,1.096,1.167,0.4,0.887666667,0.21,0.098,0,0.308,0.22,0.0705,0,0.2905,0.098,0.098,0,0,0.0985,0.0535,0,0,0,0,0,10,0.0345,6,92,0.002609263,1,1,2,1,1,1,0,1,1,5,7,300,Yes,Yes,No,No,No,Yes,3,Yes,Yes,No,No,No,Yes,3
Minnesota,St. Paul,West North Central,86943,30036,307695,5,1,205,0.006825143,10,10,10,0.692502331,3,0,0,0,0,0,0,12,0,12,0,8.67,8.67,0,0,0,0.1,74,1,105.733,101.45,16.092,74.425,1.096,1.167,0.4,0.887666667,0.21,0.098,0,0.308,0.22,0.0705,0,0.2905,0.098,0.098,0,0,0.0985,0.0535,0,0,0,0,0,10,0.0115,6,92,0.003062991,1,1,2,1,1,1,1,0,1,5,7,200,Yes,Yes,Yes,No,No,No,3,Yes,Yes,Yes,No,No,No,3
Mississippi,Jackson,East South Central,48430,35308,164422,5,1,103,0.002917186,0,0,7.25,0.427098675,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,21,1,314.598,163.565,20.94,166.3676667,2.501,1.288,0.325,1.371333333,0.21,0.05,0,0.26,0.22,0.05,0,0.27,0.05,0.03,0,0,0.05,0.03,0,0,0,0,0,10,0.0082,5,31,0.000877988,1,1,2,1,1,0,0,0,0,2,4,250,No,Yes,No,No,No,No,1,No,Yes,No,No,No,No,1
Missouri,Kansas City,West North Central,69704,31143,491918,5,1,102,0.003275214,9.45,9.45,9.45,0.631153068,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,21,1,314.598,163.565,20.94,166.3676667,2.501,1.288,0.325,1.371333333,0.21,0.0625,0,0.2725,0.22,0.054,0.01,0.284,0.0625,0.0625,0,0,0.054,0.015,0.01,0.01,0,0,0,10,0.0276,4,48,0.001541277,1,1,2,1,1,1,0,0,1,4,6,400,Yes,Yes,Yes,No,No,Yes,4,Yes,Yes,Yes,No,No,Yes,4
Missouri,St. Louis,West North Central,69704,26739,302838,5,1,102,0.003814653,9.45,9.45,9.45,0.735106025,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,21,1,314.598,163.565,20.94,166.3676667,2.501,1.288,0.325,1.371333333,0.21,0.0625,0,0.2725,0.22,0.059,0.01,0.289,0.0625,0.0625,0,0,0.059,0.015,0.01,0.01,0,0,0,10,0.0099,3,363.41,0.0012,1,1,2,1,0,1,1,0,1,5,7,250,Yes,Yes,Yes,Yes,No,Yes,5,Yes,Yes,Yes,Yes,No,Yes,5
Montana,Billings,Mountain,147040,31854,109550,5,1,140,0.004395052,8.65,8.65,8.65,0.564827023,3,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0.11,27,1,252.796,197.006,57.913,169.2383333,2.168,1.331,0.574,1.357666667,0.21,0.0675,0,0.2775,0.22,0.069,0,0.289,0.0675,0.0675,0,0,0.069,0.01,0,0,0,0,0,10,0.0089,5,84,0.002637031,1,1,2,1,1,1,1,0,0,4,6,n/a,No,Yes,Yes,No,Yes,Yes,4,No,Yes,Yes,No,Yes,Yes,4
Nebraska,Lincoln,West North Central,77421,30013,287401,6,2,157,0.005231067,9,9,9,0.623729717,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,18,1,119.834,11.924,156.759,96.17233333,0.664,0.238,1.177,0.693,0.21,0.0781,0,0.2881,0.22,0.0684,0,0.2884,0.0781,0.0558,0,0,0.0684,0.0246,0,0,0,0,0,10,0.0182,5,70,0.002332323,1,1,2,1,1,1,0,0,0,3,5,300,Yes,Yes,Yes,No,Yes,No,4,Yes,Yes,Yes,No,Yes,No,4
Nebraska,Omaha,West North Central,77421,30222,468262,6,2,157,0.005194891,9,9,9,0.619416319,3,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0.09,18,1,119.834,11.924,156.759,96.17233333,0.664,0.238,1.177,0.693,0.21,0.0781,0,0.2881,0.22,0.0684,0,0.2884,0.0781,0.0558,0,0,0.0684,0.0246,0,0,0,0,0,10,0.0206,5,80,0.002647078,1,1,2,1,1,1,0,0,0,3,5,400,No,Yes,Yes,No,No,Yes,3,No,Yes,Yes,No,No,Yes,3
Nevada,Henderson,Mountain,110567,37861,310390,5,2,475,0.012545892,7.25,7.25,7.25,0.398299041,3,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0.08,4,1,69.46,104.02,n/a,62.17366667,1.004,1.095,n/a,0.771333333,0.21,0,0,0.21,0.22,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0.0033,8.121618805,0.007,6,42,0.001109321,1,1,2,1,1,1,0,0,0,3,5,200,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Nevada,Las Vegas,Mountain,110567,27650,644644,5,2,475,0.017179024,7.25,7.25,7.25,0.545388788,3,0,0,0,1,0,1,12,0,12,5,0,5,0,0,0,0.08,4,1,69.46,104.02,n/a,62.17366667,1.004,1.095,n/a,0.771333333,0.21,0,0,0.21,0.22,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0.0033,8.121618805,0.0112,5,84,0.003037975,1,1,2,1,1,1,0,0,0,3,5,250,Yes,No,No,Yes,No,Yes,3,Yes,No,No,Yes,No,Yes,3
New Hampshire,Manchester,New England,9350,29681,112525,5,5,182,0.006131869,0,0,7.25,0.508069135,3,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0.16,4,1,n/a,131.257,n/a,131.257,n/a,1.097,n/a,1.097,0.21,0.077,0,0.287,0.22,0,0,0.22,0.077,0.077,0,0,0.05,0.05,0,0,0,0,0,10,0.0226,4,46,0.001549813,1,1,2,1,1,1,0,0,1,4,6,250,No,Yes,No,No,No,Yes,2,No,Yes,No,No,No,Yes,2
New Jersey,Newark,Mid-Atlantic,8729,19313,282090,5,1,180,0.009320147,10,11,11,1.184694247,3,0,0,0,12,0,12,12,0,12,5,0,5,0,0,0,0.11,5,1,n/a,97.697,n/a,97.697,n/a,1.016,n/a,1.016,0.21,0.115,0,0.325,0.22,0.035,0.01,0.265,0.105,0.065,0,0,0.0897,0.014,0.01,0.01,0,0,0,10,0.0276,3,118,0.006109874,1,1,2,1,1,1,0,0,0,3,5,500,Yes,Yes,No,No,No,Yes,3,Yes,Yes,No,No,No,Yes,3
New Mexico,Albuquerque,Mountain,121697,28230,560218,5,2,100,0.003542331,9,9.35,9.35,0.688912504,3,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0.1,14,1,343.392,99.343,57.913,166.8826667,2.384,1,0.574,1.319333333,0.21,0.048,0,0.258,0.22,0.049,0,0.269,0.059,0.048,0,0,0.049,0.017,0,0,0,0,0,10,0.0151,4,25,0.000885583,1,1,2,1,1,1,0,0,0,3,5,250,No,No,No,Yes,No,Yes,2,No,No,No,Yes,No,Yes,2
New York,Buffalo,Mid-Atlantic,54556,22294,256304,6,1,255,0.011438055,12.5,15.38,15.38,1.434933166,3,0,0,0,10,10,10,12,0,12,0,0,0,0,0,0,0.13,12,1,316,147.039,15.13,159.3896667,2.25,1.065,0.363,1.226,0.21,0.065,0.35,0.625,0.22,0.0633,0.14,0.4233,0.065,0.065,0.35,0.35,0.0882,0.04,0.25,0.13,0,0,0,10,0.0263,6,220,0.009868126,1,1,2,1,1,1,1,0,1,5,7,0,Yes,Yes,Yes,No,No,No,3,Yes,Yes,Yes,No,No,No,3
New York,New York City,Mid-Atlantic,54556,35761,8398761,6,1,255,0.007130673,12.5,15,15,0.872458824,3,0,0,0,10,10,10,12,0,12,0,5,5,0,0,0,0.13,12,1,316,147.039,15.13,159.3896667,2.25,1.065,0.363,1.226,0.21,0.065,0.065,0.34,0.22,0.0633,0.0388,0.3221,0.065,0.065,0.09,0.0443,0.0882,0.04,0.0388,0.0308,0,0,0,10,0.0397,6,217,0.006068063,1,1,2,1,1,1,1,0,1,5,7,300,Yes,Yes,No,No,No,Yes,3,Yes,Yes,No,No,No,Yes,3
New York,Rochester,Mid-Atlantic,54556,21054,206284,6,1,255,0.012111713,12.5,12.36,12.5,1.23491973,3,0,0,0,10,10,10,12,0,12,0,0,0,0,0,0,0.13,12,1,316,147.039,15.13,159.3896667,2.25,1.065,0.363,1.226,0.21,0.065,0,0.275,0.22,0.005,0,0.225,0.065,0.065,0,0,0.0882,0.04,0,0,0,0,0,10,0.0235,6,100,0.004749691,1,1,2,1,1,1,1,0,0,4,6,500,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
North Carolina,Charlotte,South Atlantic,53819,34687,872498,5,14,157,0.004526191,7.25,7.25,7.25,0.434745005,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,47,1,168.523,184,53.28,106.23975,1.459,2.44,0.839,1.253,0.21,0.025,0.35,0.585,0.22,0.0525,0.14,0.4125,0.025,0.025,0.35,0.35,0.0525,0.0525,0.25,0.13,0,0,0,10,0.0122,4,64,0.001845072,1,1,2,1,1,1,0,0,1,4,6,500,Yes,Yes,Yes,No,No,Yes,4,Yes,Yes,Yes,No,No,Yes,4
North Carolina,Greensboro,South Atlantic,53819,28502,294722,5,14,177,0.006210091,7.25,7.25,7.25,0.529085678,3,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0.09,47,1,168.523,184,53.28,106.23975,1.459,2.44,0.839,1.253,0.21,0.025,0,0.235,0.22,0.0525,0,0.2725,0.025,0.025,0,0,0.0525,0.0525,0,0,0,0,0,10,0.0633,4,64,0.002245456,1,1,2,1,1,1,0,0,0,3,5,300,No,No,Yes,No,No,Yes,2,No,No,Yes,No,No,Yes,2
North Carolina,Raleigh,South Atlantic,53819,36875,469298,5,14,177,0.0048,7.25,7.25,7.25,0.408949153,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,47,1,168.523,184,53.28,106.23975,1.459,2.44,0.839,1.253,0.21,0.025,0,0.235,0.22,0.0525,0,0.2725,0.025,0.025,0,0,0.0525,0.0525,0,0,0,0,0,10,0.0103,4,64,0.001735593,1,1,2,1,1,1,1,0,1,5,7,300,Yes,No,Yes,No,No,No,2,Yes,No,Yes,No,No,No,2
North Dakota,Fargo,West North Central,70762,31866,124844,5,28,210,0.006590096,7.25,7.25,7.25,0.473231658,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,12,1,782.53,105.08,n/a,443.805,6.603,0.92,n/a,3.7615,0.21,0.0431,0,0.2531,0.22,0.0204,0,0.2404,0.0431,0.0141,0,0,0.029,0.011,0,0,0,0,0,10,0.0132,5,65,0.002039792,1,1,2,1,1,0,0,0,0,2,4,250,Yes,Yes,Yes,No,No,Yes,4,Yes,Yes,Yes,No,No,No,3
Ohio,Cincinnati,East North Central,44825,29156,302605,5,7,149,0.00511044,8.7,8.7,8.7,0.62066127,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,43,1,153.949,125.889,73.156,117.6646667,1.599,1.02,0.74,1.119666667,0.21,0,0.021,0.231,0.22,0.0285,0.021,0.2695,0,0,0.021,0.021,0.048,0,0.021,0.021,0,0,0.0026,8.520063301,0.0181,4,98,0.003361229,1,1,2,1,1,1,1,1,1,6,8,400,Yes,No,Yes,No,No,No,2,Yes,No,Yes,No,No,No,2
Ohio,Cleveland,East North Central,44825,20085,383793,5,7,149,0.007418471,8.7,8.7,8.7,0.900970874,3,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0.09,43,1,153.949,125.889,73.156,117.6646667,1.599,1.02,0.74,1.119666667,0.21,0,0,0.21,0.22,0.0285,0.025,0.2735,0,0,0,0,0.048,0,0.025,0.025,0,0,0.0026,8.520063301,0.0267,4,98,0.004879263,1,1,2,1,1,1,1,0,0,4,6,150,No,Yes,Yes,No,No,No,2,No,Yes,Yes,No,No,No,2
Ohio,Columbus,East North Central,44825,26778,892533,5,7,149,0.005564269,8.7,8.7,8.7,0.675778624,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,43,1,153.949,125.889,73.156,117.6646667,1.599,1.02,0.74,1.119666667,0.21,0,0,0.21,0.22,0.0285,0.025,0.2735,0,0,0,0,0.048,0,0.025,0.025,0,0,0.0026,8.520063301,0.0216,4,98,0.003659721,1,1,2,1,1,1,1,0,0,4,6,250,No,Yes,No,No,No,Yes,2,No,Yes,No,No,No,Yes,2
Oklahoma,Oklahoma City,West South Central,69899,28365,649021,5,3,154,0.005429226,7.25,7.25,7.25,0.531641107,3,0,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0.07,31,1,150.402,128.96,50.157,109.8396667,1.31,1.289,0.665,1.088,0.21,0.06,0,0.27,0.22,0.05,0,0.27,0.06,0.06,0,0,0.05,0.005,0,0,0,0,0,10,0.0131,4,36,0.00126917,1,1,2,1,1,1,0,0,1,4,6,200,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Oklahoma,Tulsa,West South Central,69899,29764,400669,5,3,154,0.005174036,7.25,7.25,7.25,0.506652332,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,31,1,150.402,128.96,50.157,109.8396667,1.31,1.289,0.665,1.088,0.21,0.06,0,0.27,0.22,0.05,0,0.27,0.06,0.06,0,0,0.05,0.005,0,0,0,0,0,10,0.0144,4,36,0.001209515,1,1,2,1,1,1,0,0,0,3,5,400,Yes,No,No,No,No,Yes,2,Yes,No,No,No,No,Yes,2
Oregon,Portland,Pacific,98466,36492,653115,5,2,150,0.00411049,11.25,11.25,11.25,0.641236435,3,0,0,0,0,0,0,24,0,24,5,0,5,0,0,0,0.09,20,1,130.62,111.558,53.63,81.86075,1.429,0.901,0.44,0.763,0.21,0.076,0.022,0.308,0.22,0.09,0,0.31,0.076,0.066,0.022,0.022,0.099,0.05,0,0,1,10,0.057,-22.44476609,0.0232,5,136,0.003726844,1,1,2,1,0,1,0,0,1,3,5,200,Yes,No,No,No,No,Yes,2,Yes,No,No,No,No,Yes,2
Pennsylvania,Philadelphia,Mid-Atlantic,46055,24811,1584138,5,10,175,0.007053323,7.25,7.25,7.25,0.60779493,3,0,0,0,0,0,0,12,12,12,0,5,5,0,0,0,0.09,12,1,n/a,152.815,32.792,92.8035,n/a,1.184,0.407,0.7955,0.21,0.0999,0.0387,0.3486,0.22,0.0307,0.0387,0.2894,0.0999,0.0999,0.0387,0.0387,0.0307,0.0307,0.0387,0.0387,0,0,0.0014,9.203111008,0.0187,7,235,0.009471605,1,1,2,1,1,1,1,1,0,5,7,1000,Yes,Yes,Yes,Yes,No,No,4,Yes,Yes,Yes,Yes,No,No,4
Pennsylvania,Pittsburgh,Mid-Atlantic,46055,30397,301048,5,10,175,0.005757147,7.25,7.25,7.25,0.496101589,3,0,0,0,0,6,6,12,12,12,0,3,3,0,0,0,0.09,13,1,n/a,152.815,32.792,92.8035,n/a,1.184,0.407,0.7955,0.21,0.0999,0,0.3099,0.22,0.0307,0.03,0.2807,0.0999,0.0999,0,0,0.0307,0.0307,0.03,0.03,0,0,0.006,6.584761464,0.0206,6,166.75,0.005485739,1,1,2,1,1,1,1,0,1,5,7,500,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Rhode Island,Providence,New England,1212,24051,179335,5,1,206,0.008565132,10.5,10.5,10.5,0.908070351,3,0,0,0,4,4,4,13,0,13,5,0,5,0,0,0,0.16,1,0,n/a,65.11,n/a,65.11,n/a,1.001,n/a,1.001,0.21,0.07,0,0.28,0.22,0.0375,0,0.2575,0.07,0.07,0,0,0.0599,0.0375,0,0,0,0,0,10,0.0181,4,58,0.002411542,1,1,2,1,1,1,0,0,1,4,6,500,Yes,Yes,Yes,Yes,No,No,4,Yes,Yes,Yes,Yes,No,No,4
South Carolina,Charleston,South Atlantic,32020,35587,136208,5,2,200,0.00562003,0,0,7.25,0.423750246,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,30,1,122.736,160.053,94.566,99.479,1.398,1.317,1.474,1.1255,0.21,0.05,0,0.26,0.22,0.07,0,0.29,0.05,0.05,0,0,0.07,0.03,0,0,0,0,0,10,0.0177,4,15,0.000421502,1,1,2,1,1,0,0,0,1,3,5,400,Yes,No,Yes,No,No,No,2,Yes,No,Yes,No,No,No,2
South Dakota,Sioux Falls,West North Central,77184,31161,181883,5,1,200,0.006418279,9.1,9.1,9.1,0.607425949,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,19,1,91.06,70.043,n/a,80.5515,1.234,0.936,n/a,1.085,0.21,0,0,0.21,0.22,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,10,0.0143,5,30,0.000962742,1,1,2,1,0,1,1,0,0,3,5,300,Yes,No,Yes,No,No,No,2,Yes,No,Yes,No,No,No,2
Tennessee,Memphis,East South Central,42180,24243,650618,5,1,358,0.014767149,0,0,7.25,0.622035227,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,51,1,186.471,303.1,122.635,204.0686667,19.702,1.942,1.91,7.851333333,0.21,0.065,0,0.275,0.22,0.03,0,0.25,0.065,0.065,0,0,0.03,0.03,0,0,0,0,0,10,0.0298,4,52,0.002144949,1,1,2,1,1,1,0,0,1,4,6,200,No,No,Yes,No,Yes,No,2,No,No,Yes,No,Yes,No,2
Tennessee,Nashville,East South Central,42180,31109,669053,5,1,358,0.011507924,0,0,7.25,0.484747179,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,51,1,186.471,303.1,122.635,204.0686667,19.702,1.942,1.91,7.851333333,0.21,0.065,0,0.275,0.22,0.03,0,0.25,0.065,0.065,0,0,0.03,0.03,0,0,0,0,0,10,0.0173,4,52,0.001671542,1,1,2,1,1,1,0,0,1,4,6,250,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Texas,Austin,West South Central,268597,37888,964254,5,2,325,0.008577914,7.25,7.25,7.25,0.398015203,3,0,0,0,0,0,0,12,0,12,0,8.67,8.67,0,0,0,0.08,68,1,231.584,160.758,36.889,143.077,1.719,1.45,0.534,1.234333333,0.21,0,0,0.21,0.22,0,0,0.22,0,0,0,0,0,0,0,0,1,10,0.0075,5.73095183,0.0225,5,60,0.001583615,1,1,2,1,1,1,0,0,1,4,6,275,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Texas,Dallas,West South Central,268597,31260,1345047,5,3,300,0.009596929,7.25,7.25,7.25,0.48240563,3,0,0,0,0,0,0,12,0,12,0,8.67,8.67,0,0,0,0.08,68,1,231.584,160.758,36.889,143.077,1.719,1.45,0.534,1.234333333,0.21,0,0,0.21,0.22,0,0,0.22,0,0,0,0,0,0,0,0,1,10,0.0075,5.73095183,0.0266,5,62,0.001983365,1,1,2,1,1,1,0,1,1,5,7,333,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Texas,Houston,West South Central,268597,24325,2325502,5,2,350,0.014388489,7.25,7.25,7.25,0.619938335,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.08,68,1,231.584,160.758,36.889,143.077,1.719,1.45,0.534,1.234333333,0.21,0,0,0.21,0.22,0,0,0.22,0,0,0,0,0,0,0,0,1,10,0.0075,5.73095183,0.0247,5,58,0.002384378,1,1,2,1,1,1,0,0,1,4,6,250,Yes,No,No,No,No,No,1,Yes,No,No,No,No,No,1
Texas,San Antonio,West South Central,268597,24325,1532233,5,2,350,0.014388489,7.25,7.25,7.25,0.619938335,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.08,68,1,231.584,160.758,36.889,143.077,1.719,1.45,0.534,1.234333333,0.21,0,0,0.21,0.22,0,0,0.22,0,0,0,0,0,0,0,0,1,10,0.0075,5.73095183,0.0259,5,62,0.002548818,1,1,2,1,1,1,0,0,1,4,6,300,Yes,No,No,No,No,No,1,Yes,No,No,No,No,No,1
Utah,Salt Lake City,Mountain,84899,32954,200591,5,8,126,0.003823512,7.25,7.25,7.25,0.457607574,3,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0.08,15,1,216.615,123.705,295.925,212.0816667,0.65,1.051,0.792,0.831,0.21,0.0495,0,0.2595,0.22,0.05,0,0.27,0.0495,0.0495,0,0,0.05,0.05,0,0,0,0,0,10,0.0071,5,130,0.003944893,1,1,2,1,1,1,1,1,0,5,7,333,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Vermont,Burlington,New England,9623,26011,42899,5,3,175,0.006727923,10.78,10.78,10.78,0.862035293,3,0,0,0,0,0,0,12,0,12,5,0,5,0,0,0,0.16,7,1,357.66,n/a,n/a,357.66,2.34,n/a,n/a,2.34,0.21,0.085,0,0.295,0.22,0.068,0,0.288,0.085,0.06,0,0,0.0895,0.0355,0,0,0,0,0,10,0.0183,5,30,0.001153358,1,1,2,1,1,0,0,0,1,3,5,5000,Yes,Yes,Yes,No,No,Yes,4,Yes,Yes,Yes,No,No,Yes,4
Virginia,Arlington,South Atlantic,42775,67061,234965,5,1,150,0.00223677,7.25,7.25,7.25,0.224869895,3,0,0,0,8,0,8,12,0,12,6,0,6,0,0,0,0.08,22,1,241.184,283.455,44.601,189.7466667,1.933,1.594,0.397,1.308,0.21,0.06,0,0.27,0.24,0.0575,0,0.2975,0.06,0.06,0,0,0.0575,0.02,0,0,0,0,0.0036,7.950856878,0.043,4,34.5,0.000514457,1,1,2,1,1,1,1,0,1,5,7,250,No,No,No,No,Yes,No,1,No,No,No,No,Yes,No,1
