State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Number of Procedures to Start a Business,Time (in Working Days) to Start a Business,Cost (in USD) to Start a Business,Cost (as a Percent of Income per Capita) to Start a Business,Minimum Wage - State,Minimum Wage - City,Hourly Minimum Wage Applicable to Workers (in USD),Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),"Average Paid Annual Leave for 1, 5 and 10 Years of Tenure (in Working Days)","Average Notice Period for 1, 5 and 10 Years of Tenure","Average Severance Pay for a 1, 5 and 10 Years of Tenure (in Weeks)",Minimum Length of Paid Maternity Leave - State,Minimum Length of Paid Maternity Leave - City,Length of Paid Maternity Leave (in Weeks),Minimum Length of Unpaid Maternity Leave - State,Minimum Length of Unpaid Maternity Leave - City,Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days - State,Number of Paid Sick Leave Days - City,Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days - State,Number of Unpaid Sick Leave Days - City,Number of Unpaid Sick Leave Days (in Working Days),Price per Kilowatt-Hour,Number of Providers,More than One Electricity Provider,Average Outage - SAIDI - Cooperative - W/O MED,Average Outage - SAIDI - Investor Owned - W/O MED,Average Outage - SAIDI - Municipal - W/O MED,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Cooperative - W/O MED,Average Outage - SAIFI - Investor Owned - W/O MED,Average Outage - SAIFI - Municipal - W/O MED,Average Outage - SAIFI - Without MED,Federal Corporate Income Tax Rate,State Corporate Income Marginal Tax Rate,City Corporate Income Marginal Tax Rate,Corporate Income Effective Tax Rate,Federal Personal Income Tax Rate,State Personal Income Marginal Tax Rate,City Personal Income Marginal Tax Rate,Personal Income Effective Tax Rate,State Corporate Income Highest Tax Rate,State Corporate Income Lowest Tax Rate,City Corporate Income Highest Tax Rate,City Corporate Income Lowest Tax Rate,State Personal Income Highest Tax Rate,State Personal Income Lowest Tax Rate,City Personal Income Highest Tax Rate,City Personal Income Lowest Tax Rate,Gross Receipts Tax Base,Gross Receipts Tax Base Score,Gross Receipts Tax Rate,Gross Receipts Tax Rate Score,Commercial Property Effective Tax Rate,Number of Procedures to Transfer Title on Immovable Property,Cost (in USD) to Transfer Title on Immovable Property,Cost (as a Percent of Income per Capita) to Transfer Title on Immovable Property,Land Title Identification,Immovable Property Identification,Reliability of Information Index,Information on Land-Ownership is Made Publicly-Available,Documents for Completing the Registration of Property Transactions Publicly-Available,Fee Scheduleis Made Publicly-Available,Specific and Independent Mechanism for Filing Complaints,Specific Time Frame for Immovable Property Registration,Deed for Property Title Transfer Can Be Processed Online,Transparency of Information Index,Quality of Land Administration Index,Parking Minimum Size (Square Feet per Required Parking Spot),Local Planning Commission (Rezoning),Local Zoning Board (Rezoning),Local Council / Local Managers (Rezoning),County Board of Commissioners (Rezoning),County Zoning Board (Rezoning),Environmental Review Board (Rezoning),Number of Approvals Needed (Rezoning),Local Planning Commission (Zoning),Local Zoning Board (Zoning),Local Council / Local Managers (Zoning),County Board of Commissioners (Zoning),County Zoning Board (Zoning),Environmental Review Board (Zoning),Number of Approvals Needed (Zoning)
Colorado,Aurora,Pacific,104185,28854,374114,5,1,100,0.003465724,12,12,12,0.865044708,3,0,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0.09,23,1,95.766,76.724,32.03,68.17333333,1.025,0.926,0.466,0.805666667,0.21,0.0463,0,0.2563,0.22,0.0463,0,0.2663,0.0463,0.0463,0,0,0.0463,0.0463,0,0,0,0,0,10,0.0061,4,58,0.00201012,1,1,2,1,1,1,0,0,0,3,5,200,Yes,Yes,Yes,No,No,No,3,Yes,Yes,Yes,No,No,No,3
Colorado,Colorado Springs,Pacific,104185,32539,472688,5,1,100,0.003073235,12,12,12,0.767079505,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,23,1,95.766,76.724,32.03,68.17333333,1.025,0.926,0.466,0.805666667,0.21,0.0463,0,0.2563,0.22,0.0463,0.13,0.3963,0.0463,0.0463,0,0,0.0463,0.0463,0.25,0.13,0,0,0,10,0.017,4,58,0.001782476,1,1,2,1,1,1,0,0,1,4,6,600,Yes,No,No,No,No,Yes,2,Yes,No,No,No,No,Yes,2
Colorado,Denver,Pacific,104185,38991,716492,5,1,100,0.002564694,12,12.85,12.85,0.685491524,3,0,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0.09,23,1,95.766,76.724,32.03,68.17333333,1.025,0.926,0.466,0.805666667,0.21,0.0463,0,0.2563,0.22,0.0463,0,0.2663,0.0463,0.0463,0,0,0.0463,0.0463,0,0,0,0,0,10,0.024,4,58,0.001487523,1,1,2,1,1,1,1,1,1,6,8,200,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Connecticut,Bridgeport,New England,5543,22806,144900,5,4,170,0.007454179,11,11,11,1.00324476,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0.16,6,1,n/a,81,95.917,88.4585,n/a,0.73,0.93,0.83,0.21,0.075,0,0.285,0.22,0.05,0,0.27,0.075,0.075,0,0,0.0699,0.03,0,0,0,0,0,10,0.0381,5,60,0.002630887,1,1,2,1,1,1,0,0,1,4,6,286,Yes,Yes,No,No,No,Yes,3,Yes,Yes,No,No,No,Yes,3
Delaware,Wilmington,South Atlantic,2489,30601,70635,5,5,160,0.005228587,9.25,9.25,9.25,0.628737623,3,0,0,0,0,0,0,0,0,0,15,15,15,0,0,0,0.09,4,1,84.29,70.8,38.83,64.64,1.36,0.7,1.202,1.087333333,0.21,0.087,0,0.297,0.22,0.066,0.015,0.301,0.087,0.087,0,0,0.066,0.022,0.015,0.015,0,0,0.0075,5.73095183,0.0086,4,165,0.005391981,1,1,2,1,1,1,0,0,1,4,6,200,Yes,Yes,Yes,No,No,No,3,Yes,Yes,Yes,No,No,No,3
District of Columbia,Washington D.C.,South Atlantic,68.34,50833,713244,5,4,270,0.00531151,14,14,14,0.572856215,3,0,0,0,0,6,6,0,16,16,6.05,6.05,6.05,0,16,16,0.12,1,0,n/a,52.86,n/a,52.86,n/a,0.538,n/a,0.538,0.21,0,0.0825,0.2925,0.24,0.085,0.085,0.41,0,0,0.0825,0.0825,0.0895,0.04,0.0895,0.04,0,0,0,10,0.0132,4,156.5,0.003078709,1,1,2,1,1,1,0,0,0,3,5,752,Yes,No,No,No,No,No,1,Yes,No,No,No,No,No,1
Florida,Jacksonville,South Atlantic,65755,27486,903889,5,5,175,0.006366878,8.46,8.46,8.46,0.640209561,3,0,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0.1,37,1,176.601,112.522,61.59,116.9043333,2.247,1.09,1.152,1.496333333,0.21,0.055,0,0.265,0.22,0,0,0.22,0.055,0.055,0,0,0,0,0,0,0,0,0,10,0.018,5,86.5,0.003147057,1,1,2,1,1,1,1,0,1,5,7,333,Yes,No,Yes,No,No,Yes,3,Yes,No,Yes,No,No,Yes,3
Florida,Miami,South Atlantic,65755,25067,470914,5,5,175,0.00698129,8.46,8.46,8.46,0.701990665,3,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0.1,37,1,176.601,92.868,61.59,110.353,2.247,1.09,1.152,1.496333333,0.21,0.055,0,0.265,0.22,0,0,0.22,0.055,0.055,0,0,0,0,0,0,0,0,0,10,0.0198,5,86.5,0.003450752,1,1,2,1,1,1,1,1,0,5,7,420,No,No,No,Yes,Yes,Yes,3,No,No,No,Yes,Yes,Yes,3
Florida,Orlando,South Atlantic,65755,28117,285713,5,5,175,0.006223993,8.46,8.46,8.46,0.625842017,3,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0.1,37,1,176.601,112.522,61.591,116.9046667,2.247,1.09,1.152,1.496333333,0.21,0.055,0,0.265,0.22,0,0,0.22,0.055,0.055,0,0,0,0,0,0,0,0,0,10,0.0101,5,86.5,0.003076431,1,1,2,1,1,1,0,1,0,4,6,250,Yes,No,No,Yes,No,No,2,Yes,No,No,Yes,No,No,2
Florida,Tampa,South Atlantic,65755,32869,392890,5,5,175,0.005324166,8.46,8.46,8.46,0.535361587,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,37,1,176.601,112.522,61.59,116.9043333,2.247,1.09,1.152,1.496333333,0.21,0.055,0,0.265,0.22,0,0,0.22,0.055,0.055,0,0,0,0,0,0,0,0,0,10,0.0102,5,86.5,0.002631659,1,1,2,1,1,1,0,0,1,4,6,250,Yes,No,Yes,Yes,Yes,No,4,Yes,No,Yes,Yes,Yes,No,4
