Country,State,City,Number of Firms,State / Providence Area (in Square Miles),Income per Capita,Population,Number of Procedures to Start a Business,Time (in Working Days) to Start a Business,Cost (as a Percent of Income per Capita) to Start a Business,Annual Minimum Wage as a Percent of Income per Capita,Maximum Length of Probationary Period (in Calendar Months),Length of Paid Maternity Leave (in Weeks),Length of Unpaid Maternity Leave (in Weeks),Number of Paid Sick Leave Days (in Working Days),Number of Unpaid Sick Leave Days (in Working Days),Price per Kilowatt-Hour,Power Outage Duration,Power Outage Frequency,Corporate Income Effective Tax Rate,Personal Income Effective Tax Rate,Gross Receipts Tax,Commercial Property Effective Tax Rate,Parking Minimum Size,Number of Approvals Needed (Rezoning),Number of Approvals Needed (Zoning),Number of Procedures to Transfer Title on Immovable Property,Cost (as a Percent of Income per Capita) to Transfer Title on Immovable Property,Quality of Land Administration Index,Score,Activity
United States,Idaho,Boise,12566,83642,32147,228790,6.7955,7.2299,9.8738,7.5633,5.9173,10,10,10,10,7.9712,7.0221,9.4601,4.0961,7.6157,10,9.2691,1.4452,2.5,2.5,6.6667,7.9776,5,77.60222933,18.20706669
United States,Illinois,Chicago,174596,57915,32560,2705994,6.7955,10,9.7389,3.9577,5.9173,10,7.3689,4.4028,10,6.8743,9.6901,9.8494,3.2946,8.272,10,0.7858,2.9665,7.5,7.5,3.3333,5.2966,7.5,74.79510646,15.49860249
United States,Indiana,Indianapolis,28136,36418,26232,867125,6.7955,10,9.8622,6.5079,5.9173,10,10,10,10,5.7774,9.0876,9.7373,4.4641,8.1916,10,2.7435,1.3311,0,0,5,5.5939,0,71.21146494,30.81905744
United States,Iowa,Des Moines,9955,56272,26494,216853,6.7955,9.2086,9.9236,3.823,5.9173,10,6.4919,10,10,6.8743,9.7751,9.8241,2.5149,7.4763,10,6.8677,6.7698,2.5,2.5,3.3333,6.0738,2.5,74.12562924,21.78332496
United States,Kansas,Wichita,9292,82277,26527,389255,6.7955,10,9.7875,6.5717,5.9173,10,10,10,10,6.3259,9.2873,9.7298,4.0743,8.0711,10,3.7093,1.4452,5,5,5,0,5,75.03477502,41.89141197
United States,Kentucky,“Lexington-Fayette County”,8105,40409,32965,323780,6.7955,9.8021,9.9579,7.6794,5.9173,10,10,10,10,6.3259,9.0686,9.7076,4.698,7.4415,10,8.3033,n/a,2.5,2.5,3.3333,7.1513,5,79.46822939,39.94818014
United States,Kentucky,Louisville,17937,40409,28975,620118,6.7955,9.8021,9.9455,7.0509,5.9173,10,10,10,10,6.3259,9.0686,8.8393,4.698,7.6692,10,7.2331,1.4452,5,5,3.3333,6.2604,5,77.77391367,34.57200201
United States,Louisiana,New Orleans,20226,52378,29275,391006,6.7955,9.4064,9.8456,7.1041,5.9173,10,4.7378,10,10,6.8743,8.906,0,3.7624,7.9907,10,8.7732,1.4452,7.5,7.5,5,0.1298,2.5,72.34677619,19.33185009
United States,Maine,Portland,12756,35385,32221,66417,6.7955,7.2299,9.7672,4.5146,5.9173,10,5.6148,5.6945,10,5.229,5.9585,8.7469,3.4723,7.6826,3.3778,5.4843,4.001,5,5,3.3333,8.2065,0,67.64593549,5.206726246
United States,Maryland,Baltimore,44783,12407,28488,602495,6.7955,9.6043,9.7628,4.2303,5.9173,10,4.7378,5.6945,10,6.3259,9.2019,9.7209,3.6844,8.3176,10,7.9901,2.9665,5,5,5,3.1536,2.5,72.85209408,13.45365429
United States,Massachusetts,Boston,88050,10565,39686,694583,6.7955,10,9.5758,5.5762,5.9173,10,6.4919,5.6945,10,3.0352,7.9605,0,3.7624,8.2318,10,7.6769,2.9665,5,5,5,4.3573,2.5,69.25871093,7.88850653
United States,Michigan,Detroit,68329,96716,27838,672662,6.7955,8.615,9.9296,5.0496,5.9173,10,10,5.6945,10,5.7774,9.0786,9.7978,4.3862,7.8166,7.7232,0.081,0.6846,5,5,5,7.8203,2.5,71.80340876,9.844458429
United States,Michigan,Grand Rapids,15597,96716,23225,200217,6.7955,8.615,9.9061,3.6207,5.9173,10,7.3689,5.6945,10,5.7774,9.0786,9.7978,4.3862,8.0577,7.7232,6.8155,0.6846,5,5,5,8.1338,5,73.84114977,12.83689171
United States,Minnesota,Minneapolis,64222,86943,35259,425403,6.7955,10,9.8566,5.3277,5.9173,10,4.7378,2.5342,10,6.3259,9.7448,9.8248,3.201,7.7094,10,1.856,1.4452,5,5,1.6667,6.2303,7.5,71.09133777,6.623945066
United States,Minnesota,St. Paul,64222,86943,30036,307695,6.7955,10,9.8234,5.3342,5.9173,10,4.7378,2.5342,10,6.3259,9.7448,9.8248,3.201,7.7094,10,7.8596,0.6846,5,5,1.6667,5.5748,7.5,72.72016692,4.791115194
United States,Mississippi,Jackson,8386,48430,35308,164422,6.7955,10,9.9517,7.9823,5.9173,10,10,10,10,5.7774,8.6568,9.6306,4.698,8.2586,10,8.721,1.0649,10,10,3.3333,8.7315,0,81.39343828,19.60672549
United States,Missouri,Kansas City,34962,69704,31143,491918,6.7955,10,9.94,5.9463,5.9173,10,10,10,10,7.4228,8.6568,9.6306,4.3082,7.8836,10,3.6571,2.2059,2.5,2.5,5,7.7732,5,76.25708369,14.07007608
United States,Missouri,St. Louis,52140,69704,26739,302838,6.7955,10,9.9222,4.9092,5.9173,10,10,10,10,7.4228,8.6568,9.6306,4.3082,7.7496,10,8.2772,1.0649,0,0,6.6667,8.2663,7.5,76.95352624,5.808170311
United States,Montana,Billings,4293,147040,31854,109550,6.7955,10,9.9032,6.6081,5.9173,10,4.7378,10,10,5.7774,8.6229,9.6361,4.1522,7.7496,10,8.5383,n/a,2.5,2.5,3.3333,6.1902,5,76.4238616,25.51828558
United States,Nebraska,Lincoln,6028,77421,30013,287401,5.1933,9.8021,9.8757,6.0204,5.9173,10,10,10,10,6.8743,9.4875,9.9029,3.8217,7.7657,10,6.1107,1.4452,2.5,2.5,3.3333,6.6304,2.5,74.3082555,47.67767087
United States,Nebraska,Omaha,15332,77421,30222,468262,5.1933,9.8021,9.8769,6.0634,5.9173,10,4.7378,10,10,6.8743,9.4875,9.9029,3.8217,7.7657,10,5.4843,2.2059,5,5,3.3333,6.1756,2.5,74.11592755,30.54148187
United States,Nevada,Henderson,29265,110567,37861,310390,6.7955,9.8021,9.6355,8.2696,5.9173,10,4.7378,10,10,7.4228,9.8898,9.8715,6.2574,9.5981,4.0608,9.0342,0.6846,5,5,1.6667,8.3973,2.5,76.04413981,10.60618486
United States,Nevada,Las Vegas,29265,110567,27650,644644,6.7955,9.8021,9.4833,6.802,5.9173,9.3821,4.7378,5.6945,10,7.4228,9.8898,9.8715,6.2574,9.5981,4.0608,7.9379,1.0649,5,5,3.3333,5.6109,2.5,73.05165885,22.0278148
